Iteração,MSE_Treino,MSE_Validação
196,0.24608576446368766,0.24674384503972185
197,0.2460573203801522,0.24671607869239603
198,0.24602874842744013,0.24668818800826764
199,0.24600004750451746,0.24666017190854966
200,0.2459712165063793,0.24663202931060685
201,0.2459422543240214,0.24660375912792776
202,0.24591315984441306,0.24657536027009655
203,0.24588393195046665,0.24654683164276334
204,0.24585456952101276,0.24651817214761693
205,0.2458250714307695,0.24648938068235582
206,0.24579543655031635,0.24646045614066034
207,0.2457656637460632,0.24643139741216294
208,0.24573575188022703,0.246402203382421
209,0.2457056998107972,0.2463728729328869
210,0.245675506391513,0.2463434049408809
211,0.2456451704718325,0.24631379827956046
212,0.2456146908969041,0.24628405181789445
213,0.24558406650753994,0.24625416442063058
214,0.24555329614018528,0.2462241349482698
215,0.24552237862689102,0.246193962257036
216,0.24549131279528655,0.2461636451988475
217,0.24546009746854885,0.24613318262128786
218,0.24542873146537486,0.24610257336757665
219,0.24539721359995412,0.2460718162765419
220,0.24536554268193742,0.24604091018258786
221,0.24533371751641075,0.24600985391566935
222,0.24530173690386403,0.24597864630126082
223,0.24526959964016473,0.24594728616032696
224,0.2452373045165271,0.2459157723092928
225,0.24520485031948397,0.24588410356001691
226,0.24517223583085748,0.24585227871975907
227,0.24513945982773017,0.24582029659115107
228,0.24510652108241535,0.24578815597217032
229,0.2450734183624291,0.2457558556561056
230,0.2450401504304595,0.2457233944315304
231,0.24500671604433805,0.24569077108227208
232,0.24497311395701038,0.24565798438738323
233,0.2449393429165065,0.24562503312110934
234,0.2449054016659115,0.24559191605286132
235,0.24487128894333535,0.24555863194718355
236,0.24483700348188447,0.24552517956372574
237,0.2448025440096304,0.24549155765721112
238,0.24476790924958125,0.2454577649774068
239,0.24473309791965173,0.24542380026909205
240,0.24469810873263206,0.24538966227203224
241,0.24466294039615918,0.24535534972094264
242,0.24462759161268693,0.2453208613454622
243,0.2445920610794544,0.24528619587012085
244,0.24455634748845684,0.24525135201430928
245,0.24452044952641538,0.24521632849224928
246,0.24448436587474678,0.24518112401296083
247,0.24444809520953203,0.2451457372802328
248,0.24441163620148593,0.24511016699259214
249,0.2443749875159294,0.2450744118432724
250,0.24433814781275445,0.24503847052018077
251,0.24430111574639624,0.24500234170587198
252,0.244263889965803,0.24496602407751142
253,0.24422646911440254,0.24492951630684753
254,0.2441888518300735,0.24489281706017896
255,0.2441510367451141,0.24485592499832437
256,0.24411302248621103,0.24481883877658867
257,0.24407480767440645,0.24478155704473453
258,0.24403639092507132,0.2447440784469485
259,0.24399777084786983,0.244706401621811
260,0.24395894604673096,0.24466852520226307
261,0.24391991511981623,0.24463044781557594
262,0.24388067665948748,0.24459216808331882
263,0.2438412292522778,0.24455368462132682
264,0.24380157147885842,0.2445149960396693
265,0.24376170191400703,0.2444761009426188
266,0.24372161912657828,0.24443699792861723
267,0.2436813216794699,0.24439768559024486
268,0.243640808129593,0.24435816251418943
269,0.24360007702783884,0.2443184272812125
270,0.24355912691904932,0.24427847846611775
271,0.243517956341983,0.24423831463771922
272,0.24347656382928537,0.24419793435880832
273,0.24343494790745587,0.244157336186124
274,0.24339310709681708,0.24411651867031633
275,0.24335103991148346,0.24407548035591925
276,0.24330874485932677,0.2440342197813145
277,0.24326622044194857,0.24399273547870154
278,0.2432234651546456,0.24395102597406432
279,0.24318047748637847,0.24390908978713916
280,0.24313725591974114,0.24386692543138305
281,0.24309379893092695,0.24382453141394164
282,0.24305010498970087,0.24378190623561538
283,0.24300617255936327,0.24373904839082966
284,0.24296200009672073,0.24369595636760052
285,0.2429175860520552,0.24365262864750403
286,0.24287292886909043,0.24360906370564334
287,0.2428280269849614,0.24356526001061707
288,0.2427828788301822,0.2435212160244867
289,0.24273748282861743,0.24347693020274513
290,0.24269183739744576,0.24343240099428462
291,0.24264594094713296,0.24338762684136434
292,0.24259979188139844,0.2433426061795796
293,0.24255338859718503,0.2432973374378289
294,0.2425067294846279,0.2432518190382828
295,0.2424598129270218,0.24320604939635201
296,0.24241263730079254,0.2431600269206573
297,0.24236520097546468,0.24311375001299487
298,0.24231750231363106,0.24306721706830808
299,0.24226953967092246,0.2430204264746544
300,0.2422213113959767,0.24297337661317492
301,0.242172815830408,0.24292606585806312
302,0.24212405130877726,0.2428784925765335
303,0.2420750161585617,0.2428306551287914
304,0.24202570870012458,0.2427825518680021
305,0.2419761272466858,0.24273418114025946
306,0.24192627010429044,0.24268554128455624
307,0.24187613557178292,0.24263663063275404
308,0.2418257219407729,0.2425874475095521
309,0.24177502749561047,0.24253799023245812
310,0.2417240505133532,0.24248825711175806
311,0.24167278926373975,0.24243824645048656
312,0.2416212420091601,0.2423879565443976
313,0.24156940700462778,0.24233738568193425
314,0.24151728249775087,0.24228653214420107
315,0.2414648667287037,0.24223539420493362
316,0.24141215793020054,0.24218397013047155
317,0.24135915432746563,0.24213225817972725
318,0.2413058541382086,0.24208025660416127
319,0.24125225557259325,0.24202796364774987
320,0.24119835683321508,0.2419753775469609
321,0.24114415611507237,0.24192249653072487
322,0.24108965160553894,0.24186931882040627
323,0.24103484148434035,0.24181584262977815
324,0.24097972392352537,0.24176206616499454
325,0.24092429708744267,0.24170798762456344
326,0.24086855913271485,0.2416536051993216
327,0.24081250820821248,0.24159891707240727
328,0.24075614245503046,0.24154392141923461
329,0.2406994600064637,0.24148861640746824
330,0.24064245898798164,0.24143300019699887
331,0.24058513751720717,0.24137707093991662
332,0.24052749370388993,0.24132082678048858
333,0.24046952564988688,0.24126426585513222
334,0.2404112314491362,0.24120738629239327
335,0.24035260918763682,0.241150186212921
336,0.2402936569434265,0.2410926637294454
337,0.24023437278655957,0.2410348169467537
338,0.2401747547790865,0.24097664396166837
339,0.24011480097503152,0.2409181428630247
340,0.24005450942037423,0.2408593117316494
341,0.23999387815302833,0.2408001486403367
342,0.23993290520282137,0.24074065165383102
343,0.23987158859147723,0.2406808188288025
344,0.23980992633259696,0.24062064821383009
345,0.23974791643163848,0.2405601378493781
346,0.23968555688590157,0.2404992857677788
347,0.2396228456845086,0.24043808999321348
348,0.23955978080838713,0.2403765485416928
349,0.23949636023025528,0.24031465942103822
350,0.2394325819146043,0.24025242063086508
351,0.23936844381768224,0.24018983016256445
352,0.23930394388748094,0.24012688599928672
353,0.23923908006371972,0.24006358611592377
354,0.2391738502778324,0.2399999284790959
355,0.2391082524529517,0.23993591104713205
356,0.23904228450389833,0.2398715317700581
357,0.23897594433716807,0.23980678858957952
358,0.23890922985091775,0.23974167943907063
359,0.23884213893495657,0.23967620224355746
360,0.2387746694707331,0.23961035491970523
361,0.2387068193313251,0.23954413537580863
362,0.2386385863814303,0.2394775415117753
363,0.23856996847735695,0.23941057121911763
364,0.23850096346701444,0.2393432223809402
365,0.2384315691899058,0.2392754928719291
366,0.2383617834771196,0.23920738055834176
367,0.23829160415132355,0.23913888329799887
368,0.23822102902675776,0.23906999894027367
369,0.2381500559092289,0.23900072532608432
370,0.23807868259610512,0.2389310602878873
371,0.23800690687631162,0.2388610016496676
